Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
,13,"Termarr Johnson","PIT","2B","AAA",2027,"45","Med",,"22.1277777","5' 7""","175","L","R",2022,"Draft","PIT",7219000,"Mays HS (GA)","The fourth pick in the 2022 draft, Johnson's projection has settled into that of a second-division regular at second base. After some pretty serious early-career strikeout issues, he has made sufficient adjustments to his swing and approach (like cutting his stride with two strikes) to stabilize his hit tool projection. Johnson struck out much less in 2024 and 2025 (18-21%) than he did in 2022 and 2023 (26%), and slashed a respectable .272/.363/.382 as a 21-year-old at Altoona last year. He began the 2026 season, his 40-man platform year, at Triple-A, where he's struggling early on. 
Johnson has had to adjust to each new level and assignment. He swings impressively hard for a 5-foot-7 guy and has some pull power against pitches on the inner third, especially breakers hanging in that area. It takes a lot of movement and noise for him to wind up his little body and swing hard, but it's a lot of fun to watch him do it, and his compact stature helps keep him short enough to the baseball for this style to play. As he has aimed to pull the ball with power, he has become vulnerable to whiffs against pitches on the outer third, but he's selective enough to target stuff he can drive early in the count before he goes into oppo slasher mode with two strikes. 
This is definitely an OBP-driven offensive profile, as Johnson's pure hit tool and power are both likely to be average or a shade below. Because he can't really play any other infield position besides second base, he isn't someone who can be assessed as a utilityman. Instead, his future role exists in a binary: Either he does enough on offense to play every day at second, or he isn't rosterable. His output projects to be similar to Josh Rojas and Cavan Biggio. With Konnor Griffin locked in at shortstop, the second and third base mix in Pittsburgh is starting to look a bit clogged with players of Johnson's caliber.","jQuL4t_v8Lw","sa3020214"
,13,"Jett Williams","MIL","CF","AAA",2026,"45","High",-1,"22.7333333","5' 6""","178","R","R",2022,"Draft","NYM",3900000,"Rockwall-Heath HS (TX)","Though not particularly big, Williams is very strong for his size, and his abnormal combination of power and speed helped him play his way into the first round of the 2022 draft. He then dominated A-ball in his first full pro season, and after a down 2024, conquered Double-A last year. He found the sledding a little tougher in Syracuse, but nonetheless projects as a regular with an enticing blend of plus speed, average in-game power, and defensive versatility. He was traded to Milwaukee along with Brandon Sproat in the Freddy Peralta deal this offseason.
Williams swings with amazing verve and power for a 5-foot-7 guy, but compared to big leaguers, he's still only generating average raw pop. His top hand is incredibly strong through contact, giving him power back through the middle of the field and to the oppo gap. There are a few markers that suggest Williams’s hit tool will mature south of average. He has a steep swing plane and there isn't much manipulation in the path. He also swings hard — not recklessly so, but with enough effort to think that he’s compromising his barrel feel to squeeze out as much power as his frame will allow. He has a fast bat and short levers, which helps, but doesn’t fully compensate for everything else. We saw some of the consequences during his bumpy stretch at Triple-A, where he often missed well-executed fastballs pretty badly. And like a lot of fast guys accustomed to legging out infield hits, we also saw how better infield defenders can turn some of that soft contact into outs. 
We're still working out where Williams belongs defensively. He’s played plenty in center and at both middle infield spots, and the emerging consensus is that he’s playable, if not special, at both center and shortstop. His hands and throwing accuracy are just fair at short, and his feel for center is a work in progress, but he’s also young and has split his attention between spots. We think there’s runway for improvement with experience, enough to justify a 50 defensive grade even with so much up in the air.  We see his ability to move around as a positive, particularly in Milwaukee, a team well-positioned to capitalize on that versatility. That flexibility partially informs the everyday grade: As a gamer who plays hard and steals bases and does a fair number of little things well, there's a more-than-the-sum-of-his-parts element at work here, enough so to justify his spot on the list even absent a crystal-clear big league role.",,"sa3020134"
,13,"Matt Wilkinson","SFG","SP","AAA",2027,"45","Med",,"23.6305555","6' 1""","270","L","L",2023,"Draft","CLE",110000,"Central Arizona College","Wilkinson and his 80-grade nickname, ""Tugboat,"" were acquired this May in the Patrick Bailey deal. The sobriquet is an apt metaphor for Wilkinson's fastball, a slow-moving ""heater"" that's pulling his entire profile. It's a slow-but-mighty offering that has allowed him to strike out a batter per inning each of the last two seasons. Though his 2025 fastball performance wasn't as incredible as his dominant, breakout 2024, the pitch still managed to generate plus miss and chase even though it only sits 90 mph thanks to its secondary traits and Wilkinson's ability to execute it to effective locations. Wilkinson's drop-and-drive delivery gets him so low to the ground that his left shin is almost scraping across the top of the mound as his weight shifts into his landing leg. His release height is a shade under five feet, which helps create uphill angle on his fastball that's tough for hitters to match. The fact that he can power down the mound like this, generating six-and-a-half feet of extension at roughly 270 pounds, is remarkable. 
Wilkinson's approach to pitching with his slider changed dramatically in 2025, when he used it as an in-zone offering much more often than his chase-heavy style in 2024. Because he's so often trying to elevate his fastball, it's good for him to have something he can land in the zone when he needs to throw a strike, and it looks like that'll be his slider. This pitch has tight lateral action, but it lacks the vertical finish of a bat-misser, and it should play close to average against mature hitters. He is still trying to find a way to create consistent action on a changeup that will flash bat-missing sink on occasion; you can project that pitch to average based on the quality of his arm action. If Wilkinson falls short of this projection, it'll be because his lack of raw fastball velocity becomes more consequential against big league hitters. It's possible he'll be homer-prone at that level; this is an older guy, and he hasn't missed as many bats since joining the Giants as he has in previous years. But he's only about a year from debuting, and we believe in Wilkinson's athleticism and secondary pitch projection enough to think he will soon have more than just a good chase fastball. He grades here as a no. 4/5 starter on a competitive team.","gLTxs7vMKMg","sa3023171"
,13,"Tekoah Roby","STL","MIRP","AAA",2027,"45","Med",,"24.8583333","6' 1""","210","R","R",2020,"Draft","TEX",775000,"Pine Forest HS (FL)","A Florida prep pick from the abbreviated 2020 draft, Roby came over from the Rangers alongside reliever John King and utilityman Thomas Saggese in exchange from Jordan Montgomery’s 2023 second-half heroics. Roby was up to 94-97 mph this past season while twirling in multiple above-average breaking balls, yet we still pegged him as a multi-inning reliever. That was partly due to fastball playability issues out of his high slot, but was mostly because of the way injuries corresponded with the outset of his option years. Shoulder troubles had kept Roby under 60 innings in both of his first two seasons in the Cardinals org, but his stuff was too good to leave him exposed to the 2024 Rule 5 draft. He earned a promotion to Triple-A last June and was holding his own through six starts (22.6% K%, 6% BB%, 4.02 ERA) before he blew out in early July. That kind of setback seem like it might push Roby to the 'pen in the nearish-term future, but his -14 IVB curveball has worked well enough suppressing lefties to hope for 2025 Kyle Leahy-shaped production upon his return, hopefully including the part where he eventually gets a chance to start again.",,"sa3014519"
,13,"Caden Favors","CLE","SP","AA",2028,"45","Med",,"24.9111111","6' 3""","205","L","L",2024,"Draft","CLE",75000,"Wichita State","A $75,000 senior sign back in 2024, Favors checks a lot of the boxes you want to see in a backend starter. An average athlete, the Wichita State grad is well built and has topped 100 innings in each of the last two seasons. He’s gained a few ticks in pro ball and is now sitting in the low 90s and touching 97 with bat-missing cut and carry. As you’d expect with the pitch grades above, Favors has great feel to spin the ball, and his 1-7 curve in particular stands out for its lack of hump. He hasn't used it a ton, but he’s also got a fading change that projects average. His arm slows a tick, and he’s only a 50/50 bet to execute it in a useful spot right now, but at its best, it has late, barrel-missing tail and sink to the arm side; more consistent execution of this pitch should be a big 2026 developmental focus. 
While Favors posted a mediocre 11.2% walk rate last season, we're inclined to project on his control. To start with, he has a strong record of control and was a great strike thrower in college and during his first professional cameo. In pro ball, Cleveland has both helped him throw harder and tweaked his motion. After an uncharacteristically wild start to the season, Favors calmed down his delivery noticeably, and saw his walk rate fall alongside without sacrificing any gas. His motion is now decidedly low maintenance: It’s compact, he has good balance, his arm swing is short and repeatable, his head remains still, and his posture is good. You’d perhaps like to see Favors separate a little earlier, but otherwise he has all the markers of a good strike-thrower, and we expect him to turn into one as he gets more experience with his new mechanics. 
The upside here isn't huge. Even with his newfound arm strength, Favors’ secondaries aren't so sharp that he’s likely to miss a ton of bats. Instead, we project him to mix and match in a useful, if not especially sexy, twice-through-the-order backend role. He has middle relief to fall back on if the strike-throwing falls short of our forecast.","QASbPdYVT3s","sa3025446"
,13,"Chase Harlan","LAD","1B","A+",2030,"45","High",1,"20.05","6' 3""","215","R","R",2024,"Draft","LAD",1750000,"Central Bucks East (PA)","Harlan entered his draft spring with hit tool question marks that he wasn't necessarily able to resolve playing varsity ball in Eastern PA. He was one of the 2024 Draft Combine's most impressive performers and hit several balls 108 mph or harder during BP, one of the loudest sessions of any player there, let alone the high schoolers. He ranked 85th on the 2024 Draft Board and signed for just over $1.7 million to eschew a commitment to Clemson. Raw as both a hitter and defender, Harlan spent most of 2025 on the Dodgers' complex in Arizona, first in extended spring training and then the Complex League (.856 OPS) before a late-season promotion to Rancho. 
Harlan has huge juice and is capable of threatening the warning track with just the flick of his wrist. He hit a ball 114 mph in 2025, but his other power metrics snitch on his raw hitting skills. For instance, Harlan's 37% hard-hit rate is a shade below the big league average. It's still impressive for a teenage hitter, but below what's typical for someone with the power to hit a ball 114. There's a pause midway through Harlan's load, and his hands stop cold as he's deciding whether or not to swing. Sometimes they fire late and he's not at the contact point soon enough to square up the baseball. As he gets stronger and gains experience, this might become less of an issue. Combined throughout all of 2025, Harlan had a roughly 70% contact rate (it was 66% after he was sent to Rancho). That isn't great, but it's workable if Harlan's raw power ends up in the stratosphere we think it will. 
Harlan's high-end offensive outcomes look something like Mark Reynolds. He has a similar defensive profile in that he's not the best third baseman. Throwing accuracy and general quickness were issues for Harlan late in 2025. Right field and first base are more likely fits for him down the line, though there's no downside to the Dodgers developing him at third for at least another full season. Harlan's contact profile makes him pretty dicey, but he's definitely a prospect because of his high-end power projection.","ZgEBFTstTqw","sa3067256"
,13,"Jared Thomas","COL","LF","CPX",2027,"40+","Med",,"23.0722222","6' 2""","190","L","L",2024,"Draft","COL",2000000,"Texas","Thomas was a draft-eligible sophomore and after beating up on Big 12 pitching for a couple years, he signed for $2 million as the 42nd overall pick of the 2024 draft. He has the skill set of a power-hitting fourth outfielder, with above-average raw and a little defensive versatility but a shaky hit tool. Thomas has a big move in his swing, with a high leg kick, a big hand load, and a long path. The combination of that and average bat speed makes it hard to direct the barrel and adjust off the fastball. We got a glimpse of the challenge ahead when he was promoted to Double-A midway through last year. After dominating High-A, he struck out in 34.6% of his plate appearances in Hartford and his slugging percentage tumbled more than 100 points. 
Defensively, Thomas is average in a corner and stretched in center field. He’s an average runner with underbaked reads and tracking skills, and in Coors specifically, you’d much rather have him in left or right. One other thing to note: Thomas broke his hamate in the Arizona Fall League last year and saw limited game action this spring. The effects of this particular injury can linger, and so it behooves all parties to be patient if Thomas starts slowly in 2026. Regardless, he’s tracking like a low-variance fourth outfielder.","9tJdkCSuOPc","sa3025252"
,13,"Tyler Spangler","PHI","SS",,2030,"40+","High",,"18.8222222","6' 3""","195","L","R",2026,"Draft","PHI",,"De La Salle HS (CA)","Spangler is a sizeable, 6-foot-3 shortstop who exited his pre-draft summer in the first round mix. A lower back stress reaction kept him out for most of his senior spring, though Spangler returned at the Combine and appeared healthy enough that he might get picked early enough for him to be coaxed away from his Stanford commitment. Spangler's swing is bottom-hand dominant and has some length into the hitting zone, but he still managed an 85% contact rate on the showcase circuit across a multi-year sample. His size makes it possible that he'll need to move off of shortstop to third base over time, but if that happens, he'll hopefully have grown into enough power to profile there. At draft time, he is a talented reclamation project.",,
,13,"Noble Meyer","MIA","SP","A",2027,"40+","High",,"21.5472222","6' 5""","200","R","R",2023,"Draft","MIA",4500000,"Jesuit HS (OR)","Meyer strained his shoulder in spring training and just made his first rehab start last Thursday, which means there isn't a whole lot to add here from our report last July. He remains an intriguing pitching prospect with a starter’s frame and ease of operation on the mound. The strikes haven't followed yet, though, as he’s been wild throughout his career, including in High-A last year when he mostly worked in short, three-inning outings. He also mostly hasn't had the upper-90s velo he had in high school (though he sat 96-97 in his one rehab inning). Both Meyer's change and slider flash plus, so if he’s able to work in that velo range full-time and take significant strides with his command, the no. 2 or 3 starter projection he once carried is still in play. At this point, though, the relief risk is substantial. Meyer is valued here as a no. 4 or 5 starter with late-inning upside in relief. Needless to say, the range of outcomes is pretty wide at this juncture.","vOnLfLiRA24","sa3022945"
,13,"John Holobetz","BOS","SP","AA",2028,"40+","Low",,"23.9916666","6' 3""","190","R","R",2024,"Draft","MIL",322500,"Old Dominion","Holobetz was a Yankees fan growing up and wore pinstripes at Old Dominion, which must have made for awkward phone calls back home when Milwaukee dealt him to the Sawx in the Quinn Priester trade. After working in a mid-to-high-leverage multi-inning role in school, Boston has developed him as a more traditional starter. His stuff has jumped a tick as well, thanks in part to a slightly lower slot in pro ball. 
Holobetz is a great strike-thrower with a clean, up-tempo delivery and a short arm action. He runs the heat up to 97 mph and is built up enough to reach back for it late in outings. While he has three different breaking balls, there isn't as much differentiation between them as you’d like, and the hard ones in particular seem to break early because hitters don't chase them much, even when he locates just off the edge of the plate (which happens pretty often; he has good command). 
Holobetz is either great at reading swings or can really follow a scouting report (score another for the command), because he takes lunch money from flawed hitters with in-zone vulnerabilities. Less clear is how the stuff will play against hitters he needs to fool rather than overwhelm. He has the arm strength, command, and stamina to start, but in their current form, the secondaries look light for an extended role. It’s worth continuing to play around with different sliders and changeups in the hopes of unlocking something, because he has the other attributes of a good starting pitching prospect. As is, he’s tracking like a backend starter. Even though it seems like a waste of some of his best attributes, you can also see how shorter stints could help everything play up in a sixth- or seventh-inning type role.",,"sa3034016"
,13,"Angel De Los Santos","DET","SS","CPX",2030,"40+","High",,"18.4","6' 1""","161","R","R",2025,"Intl15","DET",387500,"Dominican Republic","De Los Santos got a decent bonus ($387,500) as part of Detroit’s 2025 international class. He went nuts in the DSL, hitting .370/.465/.543 with encouraging measurable power for his age and size. It comes with a little swing and miss, particularly on spin, but he’s a good athlete with a nice swing; it’s what you want to see at this level. It also looks like he might stick at shortstop. We don't want to go crazy projecting off of grainy DSL video, but it appears that De Los Santos has the mobility and arm strength to stay at short and perhaps be pretty good there. He’s among the DSL graduates we're most excited to see in 2026, and was a Pick to Click candidate for Brendan.",,"sa3067737"
,13,"Paulino Santana","TEX","RF","A",2030,"40+","High",,"19.6944444","6' 1""","170","R","R",2024,"Intl15","TEX",1300000,"Dominican Republic","The Rangers are as good as anyone at identifying and signing good athletes in Latin America, and Santana fits the mold. He’s high waisted, with an enviable blend of speed, present strength, and physical projection. And for anyone lamenting that only the lefties get the ""pretty swing"" label, I'll submit Santana’s, a lofted and connected cut built to do damage. 
As is often the case with the physical and toolsy Latin American teens Texas always has running around their complex, Santana’s skills lag behind his athleticism. He struck out more than a quarter of the time in the ACL last year, where he posted a sub-league-average line and got eaten up by offspeed pitches in particular. He doesn't identify breaking balls well out of the hand, and he’s not going to reach this projection if he keeps whiffing half the time against spin.
If you're looking for optimism, it’s notable that Santana recently made subtle bat path adjustments and shortened his swing a tick in an effort to pull the ball more. It has worked, at least to my eye, and it demonstrates that he’s got the aptitude to make positive changes. If he can find a way to fight sliders and curves to a draw, everything else may just fall into place. He has a fast bat and is already producing exit velocities at the big league average. Defensively, he’s not quite quick enough for center, but he projects above average in a corner and has a path to everyday duty if he just hits enough. That’s a huge “just,” of course, but it’s worth staying patient here, because Santana has some of the highest upside at the plate in the entire system.",,"sa3023718"
,13,"Caden Sorrell","CHC","RF",,2029,"40+","High",,"21.3888888","6' 3""","210","L","L",2026,"Draft","CHC",,"Texas A&M","Sorrell entered his draft spring as one of the higher-variance college hitters in the entire class, a power-hitting lefty outfielder with a fringe center field fit and contact rate. If he improved either, he seemed likely to go in the first round; if he improved both, he might go in the top 10. He did neither. Sorrell's contact rate actually dipped south of 70%, he was more chase prone than he was in 2025 (32%), and he continued to look tentative and less rangy than is required in center field. But Sorrell does have big lefty power, and he added more as a junior. He nearly doubled his homer total from the prior year and had 44 extra-base hits in 56 games. Sorrell's swing is geared for low-ball contact, but he will occasionally show an ability to alter his posture and get the barrel on pitches around his belt. If he can start doing that consistently, then he'll be accessing enough power to get away with a lot of whiffs. Realistically, he's a corner platoon guy who has quite a bit of contact-related bust risk.",,"sa3042754"
,13,"Blake Bryant","ARI","SP",,2031,"40+","High",,"18.925","6' 6""","182","R","R",2026,"Draft","ARI",,"Citizens Christian Academy (GA)","Bryant is a Clemson commit with a power pitcher's fastball/curveball combo, a very projectable frame, and a whippy (if fairly violent) delivery. His fastball has vertical ride that will help it play even if his arm strength continues to hang in the low 90s. Bryant's curveball looks like his fastball out of hand until in falls off the table and below the strike zone. If he throws harder as he fills out, he'll likely have two plus pitches at peak. His slider is curt and soft, and the first thing a pro team will do with Bryant is try to get him to throw that pitch harder than the 78-81 mph range it currently resides in. His changeup has bat-missing action at times, but Bryant has to alter his arm slot to throw it, and pro hitters are going to pick that up. He's a likely top 50 pick and potential no. 4 starter.",,
,13,"Dasan Hill","MIN","SP","A+",2029,"40+","High",,"20.5888888","6' 5""","165","R","L",2024,"Draft","MIN",2000000,"Grapevine (TX)","Hill was maybe the most projectable player in the entire 2024 draft regardless of position or demographic at 6-foot-5, 165 pounds. His fastball was peaking in the 88-90 mph range during the summer between his junior and senior year of high school, but held 92-97 during his senior spring. The Twins gave him $2 million to eschew a commitment to Dallas Baptist and quite aggressively assigned Hill to full season ball for his pro debut in 2025. Though his monstrous stuff helped him post a 2.77 ERA in the Florida State League, he struggled badly with walks there, and this issue has come home to roost at Cedar Rapids as Hill issues a free pass per inning and has an ERA approaching 7.00. 
Hill may very well end up with four plus pitches at maturity — indeed all four of them are generating plus miss again in 2026 — but whether or not they play that way is going to depend on whether he can refine his control, and even then it's possible some of his repertoire (especially his fastball) will always play down due to the upright nature of his delivery. Hill is sitting in the upper 90s (for just a couple innings at a time), but the downhill plane of his fastball makes it more hittable than you'd think. Conversely, his breaking pitches have awesome depth in part because of his high release. They are often so far away from the strike zone that they don't elicit chase. The same is true of Hill's changeup, which has nasty finish at times but too often sails on him. 
This is still a very young, very projectable lefty who has room for 30 or more pounds on his wispy frame before he's reached maturity. It's not unusual for pitchers this young with this kind of arm speed to struggle to command it. There's a power reliever outcome waiting here in the event Hill can't improve his feel for location, though in order to be trusted in big spots, he'll need to improve his command at least a little bit compared to where it is currently.",,"sa3067070"
,13,"Yandel Ricardo","KCR","SS","A",2029,"40+","High",,"19.8083333","6' 2""","185","R","R",2024,"Intl15","KCR",2400000,"Cuba","Ricardo was Kansas City’s top international signee in 2024. The Cuban breezed through both complexes on schedule and is playing a mix of infield positions at Low-A Columbia. Atypically for a big-dollar signee, Ricardo is more skilled than tooled up. He’s a reliability-over-range defender at short, he'll flash the short game at the plate, and he’s successfully executed enough delayed steals in my looks at him to assume that he’s been honing his timing there for awhile. 
The big question going forward is how much Ricardo will produce at the plate. He’s a switch-hitter and has performed far better from the left side statistically, even though he’s a natural righty. As a lefty, he has average bat speed and a long, at times stiff-looking swing. He’s struggling to maintain rhythm on breaking pitches, and his bat path tends to be tardy on fastballs up. This isn't new, either, as Ricardo was a somewhat divisive international prospect whom some evaluators didn't think would hit. There’s enough glove and power coming here to stay patient with him as he adjusts to better pitching, as he'll only need to hit so much to have a career as a utility infielder, which is where he projects.",,"sa3024305"
,13,"Ronny Cruz","WSN","3B","A+",2030,"40+","High",-1,"19.925","6' 4""","175","S","R",2024,"Draft","CHC",620000,"Miami Christian School (FL)","Cruz was born in the D.R. but went to high school in South Florida and showed impressive raw power at the 2024 Draft Combine (though he was one of the event's slower runners). The Cubs signed him in the third round for $620,000 (the slot value of the pick was $826,000), which was enough for him to forgo his commitment to Miami. He began 2025 as part of the Cubs' extended spring training group and spent the summer in the ACL, where he slashed .270/.314/.431 with 18 extra-base hits in 48 games. He was traded to the Nats as part of the 2025 deadline deal for Michael Soroka and then was a bit of a black box (the complex schedules end before the deadline and Washington chose not to promote him to Fredericksburg after) until the start of 2026, when Cruz hit so well during his first few weeks of full-season ball that he was quickly promoted to Wilmington. 
Cruz has already begun to get stronger and develop more power, and he has done so faster than I would have guessed considering how wiry and skinny he looked at the Combine. His under-the-hood TrackMan data corroborates this, as his 2025 peak exit velocities (110 mph max, 105.5 EV90) and hard-hit rate (43%) were all in the ballpark of the major league average already, and he isn't done growing. He generates this power via electric lower-body athleticism throughout his swing, and he has enough strength in his hands to do damage even when his elaborate cut isn't well-timed. There's real juice here already, and there will probably be more at peak. 
We didn't know a ton about Cruz's contact ability upon his entry to pro ball because he wasn't a showcase fixture in high school. What we've learned since is that he appears to be a flawed hitter who is talented enough to thrive anyway. His big leg kick and pull-oriented style leave him vulnerable to many sliders, but he's excellent (and very dangerous) covering the down-and-in portion of the strike zone, and shows some ability to get extended and cover up-and-away fastballs with oppo doubles power. This is a dangerous young hitter with big bat speed, and enough feel to hit to weaponize it even though he is probably going to strike out a good bit. 
On defense, Cruz bends well and has very soft hands. He makes crisp throws with the flick of his wrist, but his max-effort arm strength is closer to average. It isn't out of the question that he stays at shortstop, but it's far more likely that he has to move off of it, and third base is where his skills would shine most. Cruz is shaping up to be a lower calorie Junior Caminero, where the bat speed and weaponized power are enough to really value him as a prospect even though he still has some hit tool risk due to breaking ball identification issues. He moves into the Top 100 with this update.","PJ2gVsyl45k","sa3067336"
,13,"Jacob Dudan","ATH","SP",,2030,"40+","High",,"21.5777777","6' 2""","191","L","R",2026,"Draft","ATH",,"North Carolina State","For those with patience and risk tolerance, Dudan is an intriguing upside pick in the 2026 draft. After pitching out of NC State’s bullpen as an underclassman, he turned in a few good starts on the Cape last summer and pitched very well in eight outings this spring before he blew out and required TJ. 
When healthy, Dudan offers an intriguing blend of present stuff and paths forward. He sat 95-97 with both fastballs out of a low slot, and the carry on his four-seamer presents a real challenge for hitters when he locates up in the zone. His feel for a sweeping slider comes and goes, but flashes plus. He was primarily a fastball/slider guy, and his changeup feel is underbaked, but it comes out of the hand pretty well and looks like a potential weapon if he can more consistently execute it going forward. Dudan is lean bordering on thin, and between his build and the current injury, durability is a real question mark. It’s a risk/reward draft profile.",,"sa3030600"
,13,"Aaron Watson","CIN","SP","CPX",2031,"40+","High",,"19.5611111","6' 5""","205","R","R",2025,"Draft","CIN",2750000,"Trinity Christian Acad. (FL)","The Reds tend to be very active in Florida during the draft, whether that's scouting the JUCO scene or properly assessing signability, and signing Watson away from a Florida commitment with a $2.7 million bonus is in that vein. Watson has a huge 6-foot-5 frame and sits about 93 mph with tail and downhill angle from a low-three-quarters arm slot. His arm stroke looks awkward at times, but Watson commands all three pitches, and a mid-80s slider with big glove-side length benefits the most from his polished feel. Right now, his changeups often sail on him. His size and pitchability foundation gives him a higher floor than most prep pitchers form the 2025 draft class, but his fastball shape might cap his ceiling. He's a pretty standard second round high school developmental project.",,"sa3069259"
,13,"Jarren Advincula","LAA","2B",,2029,"40+","Med",,"21.5333333","6' 2""","195","L","R",2026,"Draft","LAA",,"Georgia Tech","A .334/.407/.483 hitter in two years at Cal (and a .380/.442/.439 hitter across two seasons on Cape Cod), Advincula transferred to Georgia Tech for his draft year and slashed an incredible .434/.503/.629 while striking out a microscopic 5.3% of the time. He's the best pure contact hitter in the 2026 draft, with bat control from his eyes down to his shoe tops, tracking pitches like a hawk and moving his barrel all over the zone to spoil tough pitches and slice singles and doubles into play. He's also an incredibly chase-prone hitter and offers at too many secondary pitches below the zone, but Advincula finds a way to put the barrel on them anyway. 
Though he has a slasher's approach to hitting, Advincula isn't a little guy. He's an even six feet tall with below-average raw power, which is enough that it doesn't cause his hit tool to play down due to weak contact. Advincula has only played second base in college, but he's athletic and rangy and might be able to run around in the outfield, if not play a second infield position. He has a shot to be an Adam Frazier type of everyday second baseman.",,"sa3025789"
,13,"Eli Serrano III","NYM","CF","AA",2028,"40+","Med",,"23.2388888","6' 5""","201","L","L",2024,"Draft","NYM",697500,"NC State","Serrano's parents were athletes at Stetson and his dad was the Giants' second rounder in 1998. ""ThreEli"" has freaky body control for a 6-foot-5 ballplayer, and for how long he is, it's remarkable that he's never had strikeout issues. As a draft-eligible sophomore at North Carolina State, Serrano struck out in just 12.8% of his plate appearances and posted a 95% in-zone contact rate. He got off to a hot start a High-A Brooklyn in 2025 before some of the juice got sucked out of his production in the second half. He slugged .298 from June on, and compiled a .222/.332/.358 line across the entire season, though that was still good enough for a 113 wRC+ in the Sally League, and Serrano's underlying data was more favorable than that. He's limited to singles damage against lower pitches, but is otherwise a fairly complete hitter whose path to impact is via strength gains. 
Serrano's defensive fit came into greater focus in 2025. He played first base as a college freshman, and then mostly center field as a sophomore and first-full-year pro in 2025. He initially looked lost and uncomfortable out there, but by the end of the season, Serrano was making some nice plays on balls hit directly over his head. Each of his strides eats up so much ground that he glides with ease from gap to gap, and his size is a meaningful advantage at the wall. Here he's projected as being fine in center, and plus in either corner. We want to see more power from Serrano before forecasting him as a good platoon bat or a regular, but at his size and age, there's still a chance he comes into some.",,"sa3025407"
,13,"Garrett Baumann","ATL","SP","AAA",2027,"40+","Med",,"21.95","6' 8""","240","R","R",2023,"Draft","ATL",747500,"Hagerty HS (FL)","Baumann was Atlanta’s fourth rounder in 2023, signing for an over-slot $750,000. In a development that sequential readers of this list should not get accustomed to, he had a healthy and productive 2025 campaign, breezing through High-A with a 3.40 ERA, 22.5% strikeout rate, and a tidy 2.45 BB/9. If anything, the numbers undersell what looks like a mini breakout, as Baumann added two ticks of velo and now sits 93-97 with both of his fastballs, touching 99 with the four-seamer. It was a big and unexpected development for a pitcher with just fair fastball shape who didn't seem especially projectable. 
The velo is especially welcome because it was the only missing ingredient in what otherwise looked like a starter’s profile. Despite his immense frame, Baumann has excellent body control. He repeats his delivery well and has advanced fastball command for a pitcher his age, much less one his size. The additional velo has also sharpened all of Baumann’s breaking balls. He has an overhand curve, a slider, and a cutter, the latter two of which now project average. The potential out pitch is still the split. It’s a hard, high-80s offering with a big gap between how it looks at its best — plus, with nasty late tumble — and the meatball Baumann is prone to leaving out over the middle of the plate. It missed plenty of bats last year, but better hitters will take advantage of the mistakes in a way that A-ball opponents could not; refining the command of that pitch in particular looms as a developmental goal. 
The more you look, the more there is to like here. All else being equal, we generally prefer pitchers with a low release angle, as that tends to help them miss bats upstairs. But Baumann’s stature gives him a release point that’s so unusually high that it should work just fine, and it also comes with well above-average extension. We'd like to see him throw more — he averaged a bit less than five innings per outing while pitching once per week in 2025, though he was starting to work deeper down the stretch — and ideally miss more bats before we go nuts, but Baumann has the look of an innings-eating No. 4 starter. He might even have a tick of upside beyond that, and he’s a sleeper for next year’s edition of the Top 100 if he’s able to hold his newfound velocity and execute his secondaries more consistently. The stuff looked good early this spring; he’s an exciting follow in 2026.","LAuHsj56tfg","sa3023310"
,13,"Creed Willems","BAL","C","AAA",2027,"40+","Med",,"23.1472222","5' 11""","225","L","R",2021,"Draft","BAL",1000000,"Aledo HS (TX)","Born in <em>Friday Night Lights</em> country, Willems went to high school in the Dallas-Fort Worth area. By the 2021 draft, he’d developed into one of the best high school catchers in the country, and signed with the O’s for $1 million. His everyman physique and shoulder length curly hair stand out immediately, particularly in his catcher’s gear, and between that and his high-effort style of play, Willems stands a good chance of becoming a cult favorite if he has any kind of career at all. 
Willems’ bat gives him a good chance to do so. Short arms and above-average power make for a great combination, particularly for a guy who tends to hit the ball in the air. Willems has looked more discerning in the early going this season, a positive development for a hitter who already had a pretty good, if aggressive, approach. It’s a power-over-hit profile. Willems can manipulate his barrel around the zone, but he’s vulnerable against soft stuff and he isn't going to beat out a whole lot of grounders. 
Willems isn't great behind the plate. He isn't an especially smooth receiver or blocker, and it takes him awhile to get out of his crouch and release the ball on stolen base attempts. You can play him there occasionally, but it’s hard to see a team starting him there every day even if he hits his offensive ceiling. Willems thus projects as a hybrid sort of bench bat, a Mitch Garver type who catches once per week while playing a little first base and DH and pinch-hitting when he’s not in the bucket. He’s off to a solid start in Triple-A and should be ready to debut sometime this summer.",,"sa3017562"
